11.1518 	WARNING 	Movie2 stim could not be imported and won't be available
22.7115 	EXP 	self_box: fillColor = '#A6A9FF'
22.7115 	EXP 	other_box: fillColor = '#FFFCA6'
22.7281 	EXP 	self_box: fillColor = '#A6A9FF'
22.7281 	EXP 	other_box: fillColor = '#FFFCA6'
22.7448 	EXP 	self_box: fillColor = '#A6A9FF'
22.7448 	EXP 	other_box: fillColor = '#FFFCA6'
22.7616 	EXP 	self_box: fillColor = '#A6A9FF'
22.7616 	EXP 	other_box: fillColor = '#FFFCA6'
22.7782 	EXP 	self_box: fillColor = '#A6A9FF'
22.7782 	EXP 	other_box: fillColor = '#FFFCA6'
22.7949 	EXP 	self_box: fillColor = '#A6A9FF'
22.7949 	EXP 	other_box: fillColor = '#FFFCA6'
22.8115 	EXP 	self_box: fillColor = '#A6A9FF'
22.8115 	EXP 	other_box: fillColor = '#FFFCA6'
22.8284 	EXP 	self_box: fillColor = '#A6A9FF'
22.8284 	EXP 	other_box: fillColor = '#FFFCA6'
22.8451 	EXP 	self_box: fillColor = '#A6A9FF'
22.8451 	EXP 	other_box: fillColor = '#FFFCA6'
22.8617 	EXP 	self_box: fillColor = '#A6A9FF'
22.8617 	EXP 	other_box: fillColor = '#FFFCA6'
22.8784 	EXP 	self_box: fillColor = '#A6A9FF'
22.8784 	EXP 	other_box: fillColor = '#FFFCA6'
22.8952 	EXP 	self_box: fillColor = '#A6A9FF'
22.8952 	EXP 	other_box: fillColor = '#FFFCA6'
22.9118 	EXP 	self_box: fillColor = '#A6A9FF'
22.9118 	EXP 	other_box: fillColor = '#FFFCA6'
22.9284 	EXP 	self_box: fillColor = '#A6A9FF'
22.9284 	EXP 	other_box: fillColor = '#FFFCA6'
22.9452 	EXP 	self_box: fillColor = '#A6A9FF'
22.9452 	EXP 	other_box: fillColor = '#FFFCA6'
22.9618 	EXP 	self_box: fillColor = '#A6A9FF'
22.9618 	EXP 	other_box: fillColor = '#FFFCA6'
22.9785 	EXP 	self_box: fillColor = '#A6A9FF'
22.9785 	EXP 	other_box: fillColor = '#FFFCA6'
22.9953 	EXP 	self_box: fillColor = '#A6A9FF'
22.9953 	EXP 	other_box: fillColor = '#FFFCA6'
23.0120 	EXP 	self_box: fillColor = '#A6A9FF'
23.0120 	EXP 	other_box: fillColor = '#FFFCA6'
23.0286 	EXP 	self_box: fillColor = '#A6A9FF'
23.0286 	EXP 	other_box: fillColor = '#FFFCA6'
23.0454 	EXP 	self_box: fillColor = '#A6A9FF'
23.0454 	EXP 	other_box: fillColor = '#FFFCA6'
23.0619 	EXP 	self_box: fillColor = '#A6A9FF'
23.0619 	EXP 	other_box: fillColor = '#FFFCA6'
23.0786 	EXP 	self_box: fillColor = '#A6A9FF'
23.0786 	EXP 	other_box: fillColor = '#FFFCA6'
23.0953 	EXP 	self_box: fillColor = '#A6A9FF'
23.0953 	EXP 	other_box: fillColor = '#FFFCA6'
23.1120 	EXP 	self_box: fillColor = '#A6A9FF'
23.1120 	EXP 	other_box: fillColor = '#FFFCA6'
23.1287 	EXP 	self_box: fillColor = '#A6A9FF'
23.1287 	EXP 	other_box: fillColor = '#FFFCA6'
23.1455 	EXP 	self_box: fillColor = '#A6A9FF'
23.1455 	EXP 	other_box: fillColor = '#FFFCA6'
23.1623 	EXP 	self_box: fillColor = '#A6A9FF'
23.1623 	EXP 	other_box: fillColor = '#FFFCA6'
23.1789 	EXP 	self_box: fillColor = '#A6A9FF'
23.1789 	EXP 	other_box: fillColor = '#FFFCA6'
23.1956 	EXP 	self_box: fillColor = '#A6A9FF'
23.1956 	EXP 	other_box: fillColor = '#FFFCA6'
23.2122 	EXP 	self_box: fillColor = '#A6A9FF'
