77.6585 	WARNING 	Movie2 stim could not be imported and won't be available
90.3130 	EXP 	other_box: fillColor = '#FFFCA6'
90.3296 	EXP 	self_box: fillColor = '#A6A9FF'
90.3296 	EXP 	other_box: fillColor = '#FFFCA6'
90.3463 	EXP 	self_box: fillColor = '#A6A9FF'
90.3463 	EXP 	other_box: fillColor = '#FFFCA6'
90.3631 	EXP 	self_box: fillColor = '#A6A9FF'
90.3631 	EXP 	other_box: fillColor = '#FFFCA6'
90.3796 	EXP 	self_box: fillColor = '#A6A9FF'
90.3796 	EXP 	other_box: fillColor = '#FFFCA6'
90.3965 	EXP 	self_box: fillColor = '#A6A9FF'
90.3965 	EXP 	other_box: fillColor = '#FFFCA6'
90.4130 	EXP 	self_box: fillColor = '#A6A9FF'
90.4130 	EXP 	other_box: fillColor = '#FFFCA6'
90.4298 	EXP 	self_box: fillColor = '#A6A9FF'
90.4298 	EXP 	other_box: fillColor = '#FFFCA6'
90.4464 	EXP 	self_box: fillColor = '#A6A9FF'
90.4464 	EXP 	other_box: fillColor = '#FFFCA6'
90.4631 	EXP 	self_box: fillColor = '#A6A9FF'
90.4631 	EXP 	other_box: fillColor = '#FFFCA6'
90.4798 	EXP 	self_box: fillColor = '#A6A9FF'
90.4798 	EXP 	other_box: fillColor = '#FFFCA6'
90.4966 	EXP 	self_box: fillColor = '#A6A9FF'
90.4966 	EXP 	other_box: fillColor = '#FFFCA6'
90.5132 	EXP 	self_box: fillColor = '#A6A9FF'
90.5132 	EXP 	other_box: fillColor = '#FFFCA6'
90.5299 	EXP 	self_box: fillColor = '#A6A9FF'
90.5299 	EXP 	other_box: fillColor = '#FFFCA6'
90.5467 	EXP 	self_box: fillColor = '#A6A9FF'
90.5467 	EXP 	other_box: fillColor = '#FFFCA6'
90.5633 	EXP 	self_box: fillColor = '#A6A9FF'
90.5633 	EXP 	other_box: fillColor = '#FFFCA6'
90.5800 	EXP 	self_box: fillColor = '#A6A9FF'
90.5800 	EXP 	other_box: fillColor = '#FFFCA6'
90.5968 	EXP 	self_box: fillColor = '#A6A9FF'
90.5968 	EXP 	other_box: fillColor = '#FFFCA6'
90.6134 	EXP 	self_box: fillColor = '#A6A9FF'
90.6134 	EXP 	other_box: fillColor = '#FFFCA6'
90.6302 	EXP 	self_box: fillColor = '#A6A9FF'
90.6302 	EXP 	other_box: fillColor = '#FFFCA6'
90.6468 	EXP 	self_box: fillColor = '#A6A9FF'
90.6468 	EXP 	other_box: fillColor = '#FFFCA6'
90.6636 	EXP 	self_box: fillColor = '#A6A9FF'
90.6636 	EXP 	other_box: fillColor = '#FFFCA6'
90.6801 	EXP 	self_box: fillColor = '#A6A9FF'
90.6801 	EXP 	other_box: fillColor = '#FFFCA6'
90.6970 	EXP 	self_box: fillColor = '#A6A9FF'
90.6970 	EXP 	other_box: fillColor = '#FFFCA6'
90.7136 	EXP 	self_box: fillColor = '#A6A9FF'
90.7136 	EXP 	other_box: fillColor = '#FFFCA6'
90.7303 	EXP 	self_box: fillColor = '#A6A9FF'
90.7303 	EXP 	other_box: fillColor = '#FFFCA6'
90.7471 	EXP 	self_box: fillColor = '#A6A9FF'
90.7471 	EXP 	other_box: fillColor = '#FFFCA6'
90.7637 	EXP 	self_box: fillColor = '#A6A9FF'
90.7637 	EXP 	other_box: fillColor = '#FFFCA6'
90.7804 	EXP 	self_box: fillColor = '#A6A9FF'
90.7804 	EXP 	other_box: fillColor = '#FFFCA6'
90.7970 	EXP 	self_box: fillColor = '#A6A9FF'
90.7970 	EXP 	other_box: fillColor = '#FFFCA6'
90.8138 	EXP 	self_box: fillColor = '#A6A9FF'
90.8138 	EXP 	other_box: fillColor = '#FFFCA6'
90.8305 	EXP 	self_box: fillColor = '#A6A9FF'
90.8305 	EXP 	other_box: fillColor = '#FFFCA6'
90.8472 	EXP 	self_box: fillColor = '#A6A9FF'
90.8472 	EXP 	other_box: fillColor = '#FFFCA6'
90.8639 	EXP 	self_box: fillColor = '#A6A9FF'
90.8639 	EXP 	other_box: fillColor = '#FFFCA6'
90.8805 	EXP 	self_box: fillColor = '#A6A9FF'
90.8805 	EXP 	other_box: fillColor = '#FFFCA6'
90.8973 	EXP 	self_box: fillColor = '#A6A9FF'
90.8973 	EXP 	other_box: fillColor = '#FFFCA6'
90.9140 	EXP 	self_box: fillColor = '#A6A9FF'
90.9140 	EXP 	other_box: fillColor = '#FFFCA6'
90.9306 	EXP 	self_box: fillColor = '#A6A9FF'
90.9306 	EXP 	other_box: fillColor = '#FFFCA6'
90.9472 	EXP 	self_box: fillColor = '#A6A9FF'
90.9472 	EXP 	other_box: fillColor = '#FFFCA6'
90.9641 	EXP 	self_box: fillColor = '#A6A9FF'
90.9641 	EXP 	other_box: fillColor = '#FFFCA6'
90.9808 	EXP 	self_box: fillColor = '#A6A9FF'
90.9808 	EXP 	other_box: fillColor = '#FFFCA6'
90.9974 	EXP 	self_box: fillColor = '#A6A9FF'
90.9974 	EXP 	other_box: fillColor = '#FFFCA6'
91.0141 	EXP 	self_box: fillColor = '#A6A9FF'
91.0141 	EXP 	other_box: fillColor = '#FFFCA6'
91.0307 	EXP 	self_box: fillColor = '#A6A9FF'
91.0307 	EXP 	other_box: fillColor = '#FFFCA6'
91.0474 	EXP 	self_box: fillColor = '#A6A9FF'
91.0474 	EXP 	other_box: fillColor = '#FFFCA6'
91.0640 	EXP 	self_box: fillColor = '#A6A9FF'
91.0640 	EXP 	other_box: fillColor = '#FFFCA6'
91.0809 	EXP 	self_box: fillColor = '#A6A9FF'
91.0809 	EXP 	other_box: fillColor = '#FFFCA6'
91.0976 	EXP 	self_box: fillColor = '#A6A9FF'
91.0976 	EXP 	other_box: fillColor = '#FFFCA6'
91.1143 	EXP 	self_box: fillColor = '#A6A9FF'
91.1143 	EXP 	other_box: fillColor = '#FFFCA6'
91.1309 	EXP 	self_box: fillColor = '#A6A9FF'
91.1309 	EXP 	other_box: fillColor = '#FFFCA6'
91.1475 	EXP 	self_box: fillColor = '#A6A9FF'
91.1475 	EXP 	other_box: fillColor = '#FFFCA6'
