42.3986 	EXP 	other_box: fillColor = '#FFFCA6'
42.4098 	EXP 	self_box: fillColor = '#A6A9FF'
42.4098 	EXP 	other_box: fillColor = '#FFFCA6'
42.4275 	EXP 	self_box: fillColor = '#A6A9FF'
42.4275 	EXP 	other_box: fillColor = '#FFFCA6'
42.4486 	EXP 	self_box: fillColor = '#A6A9FF'
42.4486 	EXP 	other_box: fillColor = '#FFFCA6'
42.4655 	EXP 	self_box: fillColor = '#A6A9FF'
42.4655 	EXP 	other_box: fillColor = '#FFFCA6'
42.4766 	EXP 	self_box: fillColor = '#A6A9FF'
42.4766 	EXP 	other_box: fillColor = '#FFFCA6'
42.4936 	EXP 	self_box: fillColor = '#A6A9FF'
42.4936 	EXP 	other_box: fillColor = '#FFFCA6'
42.5130 	EXP 	self_box: fillColor = '#A6A9FF'
42.5130 	EXP 	other_box: fillColor = '#FFFCA6'
42.5323 	EXP 	self_box: fillColor = '#A6A9FF'
42.5323 	EXP 	other_box: fillColor = '#FFFCA6'
42.5444 	EXP 	self_box: fillColor = '#A6A9FF'
42.5444 	EXP 	other_box: fillColor = '#FFFCA6'
42.5608 	EXP 	self_box: fillColor = '#A6A9FF'
42.5608 	EXP 	other_box: fillColor = '#FFFCA6'
42.5769 	EXP 	self_box: fillColor = '#A6A9FF'
42.5769 	EXP 	other_box: fillColor = '#FFFCA6'
42.5941 	EXP 	self_box: fillColor = '#A6A9FF'
42.5941 	EXP 	other_box: fillColor = '#FFFCA6'
42.6151 	EXP 	self_box: fillColor = '#A6A9FF'
42.6151 	EXP 	other_box: fillColor = '#FFFCA6'
42.6329 	EXP 	self_box: fillColor = '#A6A9FF'
42.6329 	EXP 	other_box: fillColor = '#FFFCA6'
42.6437 	EXP 	self_box: fillColor = '#A6A9FF'
42.6437 	EXP 	other_box: fillColor = '#FFFCA6'
42.6610 	EXP 	self_box: fillColor = '#A6A9FF'
42.6610 	EXP 	other_box: fillColor = '#FFFCA6'
42.6813 	EXP 	self_box: fillColor = '#A6A9FF'
42.6813 	EXP 	other_box: fillColor = '#FFFCA6'
42.6994 	EXP 	self_box: fillColor = '#A6A9FF'
42.6994 	EXP 	other_box: fillColor = '#FFFCA6'
42.7100 	EXP 	self_box: fillColor = '#A6A9FF'
42.7100 	EXP 	other_box: fillColor = '#FFFCA6'
42.7275 	EXP 	self_box: fillColor = '#A6A9FF'
42.7275 	EXP 	other_box: fillColor = '#FFFCA6'
42.7466 	EXP 	self_box: fillColor = '#A6A9FF'
42.7466 	EXP 	other_box: fillColor = '#FFFCA6'
42.7657 	EXP 	self_box: fillColor = '#A6A9FF'
42.7657 	EXP 	other_box: fillColor = '#FFFCA6'
42.7774 	EXP 	self_box: fillColor = '#A6A9FF'
42.7774 	EXP 	other_box: fillColor = '#FFFCA6'
42.7934 	EXP 	self_box: fillColor = '#A6A9FF'
42.7934 	EXP 	other_box: fillColor = '#FFFCA6'
42.8109 	EXP 	self_box: fillColor = '#A6A9FF'
42.8109 	EXP 	other_box: fillColor = '#FFFCA6'
42.8315 	EXP 	self_box: fillColor = '#A6A9FF'
42.8315 	EXP 	other_box: fillColor = '#FFFCA6'
42.8476 	EXP 	self_box: fillColor = '#A6A9FF'
42.8476 	EXP 	other_box: fillColor = '#FFFCA6'
42.8611 	EXP 	self_box: fillColor = '#A6A9FF'
42.8611 	EXP 	other_box: fillColor = '#FFFCA6'
42.8779 	EXP 	self_box: fillColor = '#3E45FA'
42.8779 	EXP 	other_box: fillColor = '#FFFCA6'
42.8936 	EXP 	self_box: fillColor = '#3E45FA'
42.8936 	EXP 	other_box: fillColor = '#FFFCA6'
42.9108 	EXP 	self_box: fillColor = '#3E45FA'
42.9108 	EXP 	other_box: fillColor = '#FFFCA6'
42.9300 	EXP 	self_box: fillColor = '#3E45FA'
42.9300 	EXP 	other_box: fillColor = '#FFFCA6'
42.9478 	EXP 	self_box: fillColor = '#3E45FA'
42.9478 	EXP 	other_box: fillColor = '#FFFCA6'
42.9612 	EXP 	self_box: fillColor = '#3E45FA'
42.9612 	EXP 	other_box: fillColor = '#FFFCA6'
42.9771 	EXP 	self_box: fillColor = '#3E45FA'
42.9771 	EXP 	other_box: fillColor = '#FFFCA6'
