Rank,Word,Word,Source Monitoring,Source Memory,Part of speech,Frequency,Dispersion,imagery,imagSD,concrete,conSD,categor,catSD,meaning,meanSD,familiar,famSD,NOAttr,NOAsd,pleasant,pleaSD
1854,hall,hall,,2,n1,20236,0.92,5.14,1.86,5.36,1.96,4.72,1.82,4.21,1.6,6.58,1.06,3.58,1.76,3.78,1.56
174,hand,hand,,3,n1,225247,0.91,6.15,1.36,6,1.72,6.08,1.44,4.87,1.78,6.59,1.1,4.42,1.93,4.69,1.48F
2033,hat,hat,,4,n1,18198,0.92,5.56,1.77,5.97,1.68,5.67,1.72,4.78,1.86,6.55,0.95,3.87,1.82,3.8,1.2
252,head,head,1,,n1,160131,0.91,6.15,1.35,6.16,1.45,6.05,1.38,5.05,1.59,6.34,1.2,5.28,1.56,4.19,1.29
345,health,health,2,,n1,117762,0.94,4.09,1.84,3.67,2.02,4.15,1.69,5.03,1.66,6.23,1.35,4.81,1.93,5.43,1.33
461,heart,heart,3,,n1,84536,0.96,6.09,1.31,6.02,1.5,5.97,1.64,5.38,1.58,6.37,1.13,5.41,1.52,5.16,1.56F
3082,heel,heel,4,,n1,10288,0.93,5.91,1.75,5.75,1.92,5.38,1.67,4.08,1.8,5.98,1.31,3.38,1.58,3.42,1.24
881,help,help,5,,n1,43721,0.98,4.33,1.95,2.86,1.66,3.52,1.88,5.03,1.69,6.61,0.97,4.38,1.99,4.36,1.48
3607,herb,herb,6,,n1,8279,0.91,4.96,2.03,5.54,1.84,5.42,1.9,4.45,1.75,5.88,1.42,4.05,1.72,4.98,1.48F
2895,hold,hold,7,,n1,10984,0.95,4.66,1.86,4.08,1.92,3.63,1.56,4.72,1.64,6.5,1.14,3.54,1.7,5.06,1.44
225,home,home,8,,n1,170527,0.96,5.64,1.57,5.39,1.73,5.08,2.04,5.68,1.65,6.84,0.76,5.52,1.95,5.61,1.6
1286,horse,horse,9,,n1,30993,0.92,6.05,1.53,6.31,1.53,5.92,1.79,4.71,1.81,6.17,1.35,4.07,1.98,4.94,1.5
2204,lake,lake,,1,n1,15836,0.94,5.98,1.63,5.78,1.76,5.86,1.71,4.97,1.71,6.43,1.05,3.9,1.84,5.74,1.29
3973,lamp,lamp,,2,n1,7290,0.9,5.5,1.98,6.18,1.4,5.85,1.46,4.42,1.52,6.41,1.05,3.95,1.79,4.34,1.14
567,land,land,,3,n1,69750,0.96,5.64,1.59,6.16,1.55,5.72,1.53,5.08,1.73,6.22,1.28,5.13,1.95,4.82,1.32
3387,lap,lap,,4,n1,9260,0.9,5.43,1.82,5.51,1.95,4.7,1.83,3.92,1.55,6.21,1.34,3.18,1.6,4.51,1.58
3626,laugh,laugh,1,,n1,8164,0.92,5.22,1.81,4.29,2.12,4.73,1.76,5.28,1.47,6.68,0.87,4.03,1.79,6,1.33
288,law,law,2,,n1,133706,0.95,3.96,2.06,3.54,2.08,4.88,2.1,4.55,1.72,6.15,1.23,4.82,2.08,4.17,1.34
1577,lead,lead,3,,n1,23301,0.96,4.4,2.01,5.13,2.04,4.93,2.11,4,1.71,6.03,1.34,3.34,1.58,3.62,1.35
1568,leaf,leaf,4,,n1,24044,0.93,6.02,1.33,5.89,1.89,6.05,1.42,4.37,1.9,6.27,1.33,4.06,1.71,5.18,1.43
859,leg,leg,5,,n1,47477,0.91,5.95,1.62,6.22,1.51,6.07,1.76,5.03,1.76,6.66,1.06,3.67,1.88,4.28,1.54
465,light,light,6,,n1,87427,0.93,5.24,1.82,5.46,1.62,4.93,1.95,5.33,1.59,6.42,1.16,4.94,1.89,5.03,1.42
604,look,look,7,,n1,66194,0.94,4.39,1.94,3.74,1.97,3.63,1.84,4.32,1.75,6.24,1.43,4.08,1.83,4.46,1.22
1595,lunch,lunch,8,,n1,23220,0.94,6,1.35,5.46,1.7,5.48,1.76,4.85,1.82,6.5,1.39,4.88,1.58,5.24,1.36
3276,lung,lung,9,,n1,9206,0.95,5.7,1.69,5.65,1.83,5.78,1.78,4.35,1.93,6.2,1.47,3.8,1.86,4.02,1.28
1721,male,male,,1,n1,22398,0.9,5.93,1.62,5.56,1.79,5.65,1.95,5.33,1.81,6.48,1.25,4.52,1.99,4.93,1.58
94,man,man,,2,n1,409760,0.95,5.41,1.95,6.14,1.49,6,1.54,6.07,1.25,6.74,0.71,5.49,1.96,4.84,1.52F
2143,mark,mark,,3,n1,15973,0.97,4.28,1.94,4.6,1.94,3.83,2.01,3.76,2.01,6.07,1.38,3.03,1.79,3.7,1.28
2002,mass,mass,,4,n1,18107,0.94,4.89,1.96,4.09,2.08,4.42,2.11,4.44,1.68,5.62,1.61,4.11,1.8,4.27,1.48
2704,match,match,1,,n1,12025,0.95,4.84,2.04,5.31,1.84,4.63,2.02,4.61,1.39,6.32,1.06,3.57,1.72,3.97,1.11
4102,mate,mate,2,,n1,6693,0.94,5,1.69,5.03,2.13,4.7,1.82,5.02,1.78,6.27,1.19,4.49,1.72,5.57,1.36
1722,meal,meal,3,,n1,21556,0.94,5.67,1.62,5.98,1.41,5.33,1.7,5.48,1.63,6.77,0.76,4.74,1.68,5.43,1.36M
2050,milk,milk,4,,n1,17812,0.93,6.32,1.35,6.66,0.96,6.05,1.65,5.15,1.9,6.62,1.04,3.25,1.75,5.3,1.58
470,mind,mind,5,,n1,82808,0.96,3.96,2.08,3.57,2.02,4.05,2.17,4.37,1.96,6.45,0.99,5.16,2.23,4.8,1.61F
2471,moon,moon,6,,n1,13959,0.92,5.72,1.8,5.77,1.8,5.34,1.8,4.42,1.98,6.26,1.28,4.22,1.92,5.48,1.45F
1406,move,move,7,,n1,26717,0.96,4.63,1.97,3.86,1.94,4.19,1.77,4.28,1.89,6.12,1.47,4.02,1.78,4.26,1.15
3644,mud,mud,8,,n1,8026,0.93,5.79,1.67,6.02,1.68,5.05,1.81,4.72,1.58,6.05,1.31,3.05,1.36,3.56,1.69
3101,myth,myth,9,,n1,10161,0.93,3.53,1.91,3.3,2.02,4.63,1.84,4.2,1.64,5.88,1.43,4.87,1.86,4.7,1.38F
717,race,race,,1,n1,54838,0.95,4.51,2.01,4.59,1.75,4.72,1.76,4.41,1.58,6.17,1.2,4.49,1.97,4.38,1.36
3402,rail,rail,,2,n1,8826,0.93,5.5,1.87,5.36,2.04,4.5,1.74,3.85,1.73,5.79,1.5,3.49,1.73,3.59,1.2
3593,rat,rat,,3,n1,8177,0.93,5.82,1.81,6.2,1.46,6.48,1.08,4.68,1.77,6.22,1.26,3.8,1.74,2.5,1.55M
3581,reach,reach,,4,n1,7982,0.96,3.85,1.97,3.64,1.94,3.13,1.76,3.95,1.61,6.51,0.9,3.34,1.58,4.71,1.21F
4227,rent,rent,1,,n1,6360,0.94,4.24,2.05,4.13,2.05,4.58,1.85,4.62,1.92,6.2,1.5,3.36,1.73,2.75,1.42
4619,rib,rib,2,,n1,5662,0.93,5.8,1.44,5.95,1.56,5.57,1.73,4.34,1.96,6.1,1.39,3.03,1.53,3.9,1.61
240,right,right,3,,n1,163259,0.95,3.76,2.16,3.57,2.16,3.93,1.98,4.13,1.83,6.41,1.1,3.63,2,4.42,1.5
